,tweet_id,text,sentiment,created_at,month,classes
0,1240727808080412673,RT @chandlerriggs: here’s a deleted scene from TWD’s special on corona virus https://t.co/qGuSfyjpK5,0.35714285714285715,2020-03-19 19:52:15,March,2
1,1240727808005079041,"Wuhan has been in complete quarantine for over 8 weeks. 

People here are still going about their daily lives as no… https://t.co/e3OP90bX7w",0.11607142857142858,2020-03-19 19:52:15,March,2
2,1240727808340414464,"RT @RedTRaccoon: You can no longer defend this.

Make up any excuse or reasoning you want, it's intentional and it's racist.",-0.05,2020-03-19 19:52:15,March,0
3,1240727808629813248,RT @nicolebyer: Everyone in this looks sick,-0.7142857142857143,2020-03-19 19:52:15,March,0
4,1240727808617230336,"RT @RealSaavedra: Good.

It came from China.",0.7,2020-03-19 19:52:15,March,2
5,1240727808726482944,RT @Biancaixvi: Corona day 3: it just feels like Sunday again and...again,0.0,2020-03-19 19:52:15,March,1
6,1240727808705466370,"RT @jabinbotsford: Close up of President @realDonaldTrump notes is seen where he crossed out ""Corona"" and replaced it with ""Chinese"" Virus…",0.0,2020-03-19 19:52:15,March,1
7,1240727808495812608,Pretty much any corona virus germ that wants to or has entered my body these passed hours are all being bodied by t… https://t.co/SmblmqJqxw,0.21666666666666667,2020-03-19 19:52:15,March,2
8,1240727808869097472,RT @FernandoAmandi: China’s irresponsible and criminal behavior in the wake of COVID-19 will leave it in its weakest global position in mem…,-0.2,2020-03-19 19:52:15,March,0
9,1240727809300901888,RT @SAIBdelvi: I appreciate both Pak Jokowi and Pak Prabowo for their moves to fight Corona. Never been a die-hard fan nor hater of both. J…,0.0,2020-03-19 19:52:16,March,1
10,1240727809477054464,RT @MarleeMatlin: Pls RT. Dear @WhiteHouse news &amp; press conferences around the country during this Corona Virus Emergency have  sign langua…,0.0,2020-03-19 19:52:16,March,1
11,1240727809581973504,RT @RealbosstalkDt: Lets start a resource thread for loans and grants for small businesses affected by corona. We'll start: (PLEASE SHARE)…,-0.5,2020-03-19 19:52:16,March,0
12,1240727809515040768,"RT @ioproducer: There was a nasty flu that went round in December / early Jan. I’m telling you, that was corona. Bare ppl were sick (includ…",-0.3528571428571429,2020-03-19 19:52:16,March,0
13,1240727809556914176,RT @Biancaixvi: Corona day 3: it just feels like Sunday again and...again,0.0,2020-03-19 19:52:16,March,1
14,1240727809670164486,RT @olcayerdd: #PTTEmekcileriRiskAltinda the corona is very dangerous so don't come to the post office,-0.78,2020-03-19 19:52:16,March,0
15,1240727810249043969,"RT @Damii_aros: Mayorkun is somewhere in the studio singing ""Ramona, this your body dey killing person like Corona""",0.0,2020-03-19 19:52:16,March,1
16,1240727810475470848,"@citizentvkenya But are these measures enough? I don't think so. 120 bed capacity,not good. How about the whole fac… https://t.co/wGXx4bMW8a",0.3,2020-03-19 19:52:16,March,2
17,1240727810525839362,"RT @bowcoupmerci: @DanRather Yes! And where the hell are these? Jack Ma donated 500,000 testing kits and 1 million masks.  #WhereAreTheMask…",0.0,2020-03-19 19:52:16,March,1
18,1240727810441953286,"RT @jbarro: Among other things, what this shows is they're using the term ""the coronavirus"" internally like everyone else and are throwing…",-0.0625,2020-03-19 19:52:16,March,0
19,1240727810605551617,"RT @MiekeEoyang: They're trying to spur a culture war to distract from their own incompetence. 

So you don't notice them:

firing professi…",0.6,2020-03-19 19:52:16,March,2
20,1240727810567737345,"RT @TattooedFemdom: My dick is Bigger than Corona virus
My dick is Bigger than Corona virus
My dick is Bigger than Corona virus
My dick is…",0.0,2020-03-19 19:52:16,March,1
21,1240727811024969728,"RT @Gordough_: Corona Virus isn't real, the government just wants everyone inside for two weeks so they can change the batteries in the bir…",0.2,2020-03-19 19:52:16,March,2
22,1240727810982936577,RT @isoquince: Me at my funeral when I hear Messi dropped a 6.2 rating on SofaScore https://t.co/1g7HDdmiRL https://t.co/yGFo6iWTIY,0.0,2020-03-19 19:52:16,March,1
23,1240727811012395008,RT @nicolebyer: Everyone in this looks sick,-0.7142857142857143,2020-03-19 19:52:16,March,0
24,1240727811377131521,RT @Stout97_: 2 weeks? it’s a fucking global pandemic not a hamstring strain.,0.0,2020-03-19 19:52:16,March,1
25,1240727811259805699,"RT @MrJonCryer: There you have it.

Proof that this is an intentional tactic. Trump et al are trying to bait us into fighting over his raci…",0.0,2020-03-19 19:52:16,March,1
26,1240727811301806081,"RT @CarolineCBaxter: *Non-Corona content*: The Patriot missile, its overuse, and the Middle East.  Give yourself a break from pandemic cove…",0.0,2020-03-19 19:52:16,March,1
27,1240727811536465920,"RT @CandiceBenbow: This is Generation Z. 

I want to name that because folks love calling everybody 40 and under Millennials.

Millennials…",0.5,2020-03-19 19:52:16,March,2
28,1240727811624554497,RT @goodbeanaltalt: holy shit I hate every person in this video,-0.5,2020-03-19 19:52:16,March,0
29,1240727811796721671,"RT @Vijayabaskarofl: #Corona: I cldn’t wind up the day, without visiting #RGGH to check d health progress of Covid19 Pts . Am glad to see t…",0.5,2020-03-19 19:52:16,March,2
30,1240727811884748800,"RT @everywhereist: If he wasn't so vain as to eschew wearing the glasses he OBVIOUSLY needs, the font wouldn't be so big, and we wouldn't h…",0.0,2020-03-19 19:52:16,March,1
31,1240727812149063681,RT @charlesornstein: Holy shit. This is not fake news.,0.025,2020-03-19 19:52:16,March,2
32,1240727812610437120,RT @LiILevi: The only man who can save us from corona virus https://t.co/Qoc1QhVYm5,0.0,2020-03-19 19:52:16,March,1
33,1240727812887195648,RT @A_Men12: Somebody check on this mans cte,0.0,2020-03-19 19:52:16,March,1
