tweet_id,created_at,text,sentiment,month,classes
1.25382E+18,Fri Apr 24 23:06:47 +0000 2020,"MyPOV: PSA ""There’s no scenario that anyone can think of where you should take a disinfectant or inject a disinfect… https://t.co/Xc4CpO0hFa",0,April,1
1.25382E+18,Fri Apr 24 23:06:45 +0000 2020,"RT @samvallance30: Due to #COVID19 aka #Coronavirus Ill be sending the first 500 people to like &amp; retweet this $300 -$1500 through CashApp,…",-0.125,April,0
1.25382E+18,Fri Apr 24 23:06:39 +0000 2020,Things you shouldn't have to say: Don't Ingest or Inject Bleach or Disinfectants for #COVID-19 (The Miracle Mineral… https://t.co/mkmtmd5HC8,0,April,1
1.25382E+18,Fri Apr 24 23:06:28 +0000 2020,RT @MarcGozlan: #COVID19 #coronavirus #anosmie #agueusie Alterations in Smell or Taste in Mildly Symptomatic Outpatients With SARS-CoV-2 In…,0.333333333,April,2
1.25382E+18,Fri Apr 24 23:06:27 +0000 2020,RT @jazz_jazaiya21: Due to #COVID19 aka #Coronavirus Ill be sending the first 700 people to like &amp; retweet this $300 -$1500 through CashApp…,-0.125,April,0
1.25382E+18,Fri Apr 24 23:05:50 +0000 2020,"RT @stoneodestptr: Due to #COVID19 aka #Coronavirus Ill be sending the first 400 people to like &amp; retweet this $500 -$1500 through CashApp,…",-0.125,April,0
1.25382E+18,Fri Apr 24 23:05:48 +0000 2020,"RT @samvallance30: Due to #COVID19 aka #Coronavirus Ill be sending the first 500 people to like &amp; retweet this $300 -$1500 through CashApp,…",-0.125,April,0
1.25382E+18,Fri Apr 24 23:05:39 +0000 2020,"RT @stoneodestptr: Due to #COVID19 aka #Coronavirus Ill be sending the first 400 people to like &amp; retweet this $500 -$1500 through CashApp,…",-0.125,April,0
1.25382E+18,Fri Apr 24 23:05:31 +0000 2020,"RT @stoneodestptr: Due to #COVID19 aka #Coronavirus Ill be sending the first 400 people to like &amp; retweet this $500 -$1500 through CashApp,…",-0.125,April,0
1.25382E+18,Fri Apr 24 23:05:26 +0000 2020,"RT @Tracie0313: “Many of the deaths attributed to pneumonia and influenza may have actually been caused by COVID-19”

May have...not were c…",0.25,April,2
1.25382E+18,Fri Apr 24 23:05:22 +0000 2020,Due to #COVID19 aka #Coronavirus Ill be sending the first 400 people to like &amp; retweet this $500 -$1500 through Cas… https://t.co/OFiT17agzv,-0.125,April,0
1.25382E+18,Fri Apr 24 23:05:07 +0000 2020,"RT @samvallance30: Due to #COVID19 aka #Coronavirus Ill be sending the first 500 people to like &amp; retweet this $300 -$1500 through CashApp,…",-0.125,April,0
1.25382E+18,Fri Apr 24 23:05:03 +0000 2020,"RT @Matt_VanDyke: The belief that drinking or injecting chemicals, cleaners, pure alcohol, or other poisonous substances will cure #coronav…",0.214285714,April,2
1.25382E+18,Fri Apr 24 23:04:57 +0000 2020,"36,000 new cases today so far.

Are we reopening yet or nah?

#pandemic #SARSCoV2  #covid19 #coronavirus",0.118181818,April,2
1.25382E+18,Fri Apr 24 23:04:39 +0000 2020,"RT @adg187_: Due to #COVID19 aka #Coronavirus Ill be sending the first 500 people to like &amp; retweet this $300-$800 through CashApp, Apple P…",-0.125,April,0
1.25382E+18,Fri Apr 24 23:03:46 +0000 2020,"RT @samvallance30: Due to #COVID19 aka #Coronavirus Ill be sending the first 500 people to like &amp; retweet this $300 -$1500 through CashApp,…",-0.125,April,0
1.25382E+18,Fri Apr 24 23:03:25 +0000 2020,"RT @StefSimanowitz: A sneeze can travel up to 8 metres. (via @FT)

Face masks recommended or mandatory in public in:
USA
Austria
Poland
Ger…",0,April,1
1.25382E+18,Fri Apr 24 23:03:22 +0000 2020,"Whether manufactured in a lab or in the wild, this ‘novel’ #coronavirus is #manmade, one way or any other.

Our hum… https://t.co/kfDMVrWJZB",0.1,April,2
1.25382E+18,Fri Apr 24 23:03:19 +0000 2020,"RT @DMacpGaz: Quebec COVID-19 drinking game: Every time you hear Health Minister Danielle McCann, in the daily Legault-McCann-Arruda “mass”…",-0.2,April,0
1.25382E+18,Fri Apr 24 23:03:07 +0000 2020,"RT @samvallance30: Due to #COVID19 aka #Coronavirus Ill be sending the first 500 people to like &amp; retweet this $300 -$1500 through CashApp,…",-0.125,April,0
